Inference for Stan model: anon_model_6164d8efe974107dc2b96f1559771960.
4 chains, each with iter=15000; warmup=7500; thin=1; 
post-warmup draws per chain=7500, total post-warmup draws=30000.

                  mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
epsilon_std[11]  -0.06    0.02   0.15  -0.36  -0.16  -0.06   0.03   0.22   49.0    1.1
epsilon_std[12]  -0.21    0.03   0.25  -0.72  -0.37   -0.2  -0.03   0.28   74.0    1.1
epsilon_std[13]   0.16    0.03   0.15  -0.14   0.06   0.17   0.26   0.47   36.0   1.13
epsilon_std[14]  -0.42    0.02   0.16  -0.74  -0.53  -0.41   -0.3  -0.11   79.0   1.06
epsilon_std[15]  -0.54    0.02   0.18  -0.91  -0.66  -0.53  -0.42  -0.21   78.0   1.08
epsilon_std[16]   0.23    0.02   0.17  -0.13   0.11   0.23   0.34   0.56   86.0   1.05
epsilon_std[17]   0.11    0.02   0.14  -0.18   0.02   0.12   0.21   0.39   42.0   1.13
epsilon_std[18]   0.01    0.03   0.24  -0.47  -0.14   0.02   0.17   0.48   64.0   1.12
epsilon_std[19]  -0.16    0.03   0.23  -0.62  -0.31  -0.15-7.6e-3   0.28   65.0   1.12
epsilon_std[20]  -0.19    0.02   0.17  -0.55   -0.3  -0.18  -0.07   0.14   84.0   1.06
epsilon_std[21]  -0.59    0.02   0.16  -0.91   -0.7  -0.59  -0.48   -0.3   50.0    1.1
epsilon_std[22]   -0.2    0.02   0.17  -0.53  -0.31  -0.19  -0.09   0.11   79.0   1.07
epsilon_std[23]   0.11    0.02   0.15  -0.19   0.02   0.12   0.21   0.41   44.0   1.14
epsilon_std[24]   0.27    0.02   0.22  -0.18   0.13   0.28   0.41   0.69  104.0   1.04
epsilon_std[25]  -3.55     0.1   0.42  -4.43  -3.83  -3.54  -3.26  -2.76   18.0   1.13
epsilon_std[26] 3.4e-3    0.02   0.16  -0.33   -0.1 9.3e-3   0.11   0.32   45.0   1.13
epsilon_std[27]   0.55    0.03   0.26   0.03   0.38   0.55   0.72   1.08   69.0    1.1
epsilon_std[28]  -0.33    0.02   0.18   -0.7  -0.45  -0.32  -0.21-2.3e-3   80.0   1.07
epsilon_std[29]   0.04    0.02   0.16  -0.29  -0.06   0.04   0.14   0.35   43.0   1.15
epsilon_std[30]   0.08    0.02   0.16  -0.25  -0.03   0.09   0.19   0.38   75.0   1.07
